Moon's Number,Moon's Id,Moon's Mass Exponent,Moon's Mass Value
1,Lune,22,7.346
2,Mimas,19,3.79
3,Encelade,20,1.08
4,Tethys,20,6.18
5,Dione,21,1.095
6,Rhea,21,2.3
7,Titan,23,1.3452
8,Hyperion,18,5.6
9,Japet,21,1.805
10,Phoebe,18,8.292
11,Janus,18,1.9
12,Epimethee,17,5.3
13,Helene,10,1.1
14,Telesto,16,1
15,Calypso,15,6.5
16,Atlas,15,7
17,Promethee,17,1.6
18,Pandore,17,1.4
19,Pan,15,4.95
20,Ymir,15,3.97
21,Paaliaq,15,7.25
22,Tarvos,15,2.3
23,IJiraq,15,1.18
24,Suttungr,14,2.3
25,Kiviuq,15,2.79
26,Mundilfari,14,2.3
27,Albiorix,16,2.23
28,Skathi,14,3.5
29,Erriapo,14,6.8
30,Siarnaq,16,4.35
31,Thrymr,14,2.3
32,Narvi,14,2.3
33,Methone,13,2
34,Pallene,13,6
35,Pollux,13,1
36,Daphnis,14,1
37,Aegir,14,1.5
38,Bebhionn,14,1.5
39,Bergelmir,14,1.5
40,Bestla,14,2.3
41,Farbauti,13,9
42,Fenrir,13,5
43,Fornjot,14,1.5
44,Hati,14,1.5
45,Hyrrokkin,14,3.5
46,Kari,14,2.3
47,Loge,14,1.5
48,Skoll,14,1.5
49,Surtur,14,1.5
50,Anthe,12,5
51,Jarnsaxa,14,1
52,Greip,14,1.5
53,Tarqeq,14,2.3
54,Egeon,11,1
55,S2004s7,14,1.5
56,S2004s12,13,9
57,S2004s13,14,1.5
58,S2004s17,13,5
59,S2006s1,14,1
60,S2006s3,14,1.5
61,S2007s2,14,1.5
62,S2007s3,14,1.5
63,S2009s1,11,1
64,Ariel,20,12.9
65,Umbriel,20,12.2
66,Titania,20,34.2
67,Oberon,20,28.8
68,Miranda,19,6.6
69,Cordelia,16,4.5
70,Ophelia,16,5.4
71,Bianca,16,9.2
72,Cressida,17,3.4
73,Desdemona,17,1.8
74,Juliet,17,5.6
75,Portia,18,1.7
76,Rosalind,17,0.25
77,Belinda,17,4.9
78,Puck,18,2.9
79,Caliban,17,2.5
80,Sycorax,18,2.3
81,Prospero,16,8.5
82,Setebos,16,7.5
83,Stephano,16,2.2
84,Trinculo,15,3.9
85,Francisco,15,7.2
86,Margaret,15,5.4
87,Ferdinand,15,5.4
88,Perdita,19,1.8
89,Mab,16,1
90,Cupid,15,3.8
91,Charon,21,1.58
92,Nix,16,4.5
93,Hydra,16,4.8
94,S2004s3,0,0
95,S2004s4,0,0
96,S2004s6,0,0
97,Remus,14,2
98,Vanth,19,3.6
99,Romulus,0,0
100,Weywot,0,0
101,Kerberos,16,1.64
102,Styx,15,7.5
103,Angrboda,0,0
104,S2004s21,0,0
105,Gridr,0,0
106,Skrymir,0,0
107,S2004s24,0,0
108,Gerd,0,0
109,S2004s26,0,0
110,Eggther,0,0
111,S2004s28,0,0
112,S2004s29,0,0
113,Beli,0,0
114,S2004s31,0,0
115,Gunnlod,0,0
