Planet's Number,Planet's Id,Planet's Semi-Major Axis,Total Moons,Moon's Number,Moon's Id
1,Uranus,2.8706583E+09,28,1,Ariel
1,Uranus,2.8706583E+09,28,2,Titania
1,Uranus,2.8706583E+09,28,3,Oberon
1,Uranus,2.8706583E+09,28,4,Miranda
1,Uranus,2.8706583E+09,28,5,Cordelia
1,Uranus,2.8706583E+09,28,6,Ophelia
1,Uranus,2.8706583E+09,28,7,Bianca
1,Uranus,2.8706583E+09,28,8,Cressida
1,Uranus,2.8706583E+09,28,9,Desdemona
1,Uranus,2.8706583E+09,28,10,Juliet
1,Uranus,2.8706583E+09,28,11,Portia
1,Uranus,2.8706583E+09,28,12,Rosalind
1,Uranus,2.8706583E+09,28,13,Belinda
1,Uranus,2.8706583E+09,28,14,Puck
1,Uranus,2.8706583E+09,28,15,Caliban
1,Uranus,2.8706583E+09,28,16,Sycorax
1,Uranus,2.8706583E+09,28,17,Prospero
1,Uranus,2.8706583E+09,28,18,Setebos
1,Uranus,2.8706583E+09,28,19,Stephano
1,Uranus,2.8706583E+09,28,20,Trinculo
1,Uranus,2.8706583E+09,28,21,Francisco
1,Uranus,2.8706583E+09,28,22,Margaret
1,Uranus,2.8706583E+09,28,23,Ferdinand
1,Uranus,2.8706583E+09,28,24,Perdita
1,Uranus,2.8706583E+09,28,25,Mab
1,Uranus,2.8706583E+09,28,26,Cupid
1,Uranus,2.8706583E+09,28,27,S2023u1
1,Uranus,2.8706583E+09,28,28,S2025u1
2,Neptune,4.4983967E+09,16,1,Triton
2,Neptune,4.4983967E+09,16,2,Nereide
2,Neptune,4.4983967E+09,16,3,Naiade
2,Neptune,4.4983967E+09,16,4,Thalassa
2,Neptune,4.4983967E+09,16,5,Despina
2,Neptune,4.4983967E+09,16,6,Galatee
2,Neptune,4.4983967E+09,16,7,Larissa
2,Neptune,4.4983967E+09,16,8,Protee
2,Neptune,4.4983967E+09,16,9,Halimede
2,Neptune,4.4983967E+09,16,10,Psamathee
2,Neptune,4.4983967E+09,16,11,Sao
2,Neptune,4.4983967E+09,16,12,Laomedie
2,Neptune,4.4983967E+09,16,13,Neso
2,Neptune,4.4983967E+09,16,14,Hippocampe
2,Neptune,4.4983967E+09,16,15,S2021n1
2,Neptune,4.4983967E+09,16,16,S2002n5
3,Jupiter,778340800,115,1,Io
3,Jupiter,778340800,115,2,Europe
3,Jupiter,778340800,115,3,Ganymede
3,Jupiter,778340800,115,4,Callisto
3,Jupiter,778340800,115,5,Amalthee
3,Jupiter,778340800,115,6,Himalia
3,Jupiter,778340800,115,7,Elara
3,Jupiter,778340800,115,8,Pasiphae
3,Jupiter,778340800,115,9,Sinope
3,Jupiter,778340800,115,10,Lysithea
3,Jupiter,778340800,115,11,Carme
3,Jupiter,778340800,115,12,Ananke
3,Jupiter,778340800,115,13,Leda
3,Jupiter,778340800,115,14,Thebe
3,Jupiter,778340800,115,15,Adrastee
3,Jupiter,778340800,115,16,Metis
3,Jupiter,778340800,115,17,Callirrhoe
3,Jupiter,778340800,115,18,Themisto
3,Jupiter,778340800,115,19,Megaclite
3,Jupiter,778340800,115,20,Taygete
3,Jupiter,778340800,115,21,Chaldene
3,Jupiter,778340800,115,22,Harpalyke
3,Jupiter,778340800,115,23,Kalyke
3,Jupiter,778340800,115,24,Iocaste
3,Jupiter,778340800,115,25,Erinome
3,Jupiter,778340800,115,26,Isonoe
3,Jupiter,778340800,115,27,Praxidike
3,Jupiter,778340800,115,28,Autonoe
3,Jupiter,778340800,115,29,Thyone
3,Jupiter,778340800,115,30,Hermippe
3,Jupiter,778340800,115,31,Aitne
3,Jupiter,778340800,115,32,Eurydome
3,Jupiter,778340800,115,33,Euanthe
3,Jupiter,778340800,115,34,Euporie
3,Jupiter,778340800,115,35,Orthosie
3,Jupiter,778340800,115,36,Sponde
3,Jupiter,778340800,115,37,Cale
3,Jupiter,778340800,115,38,Pasithee
3,Jupiter,778340800,115,39,Hegemone
3,Jupiter,778340800,115,40,Mneme
3,Jupiter,778340800,115,41,Aoede
3,Jupiter,778340800,115,42,Thelxinoe
3,Jupiter,778340800,115,43,Arche
3,Jupiter,778340800,115,44,Callichore
3,Jupiter,778340800,115,45,Helice
3,Jupiter,778340800,115,46,Carpo
3,Jupiter,778340800,115,47,Eukelade
3,Jupiter,778340800,115,48,Cyllene
3,Jupiter,778340800,115,49,Core
3,Jupiter,778340800,115,50,Herse
3,Jupiter,778340800,115,51,S2003j2
3,Jupiter,778340800,115,52,Eupheme
3,Jupiter,778340800,115,53,S2003j4
3,Jupiter,778340800,115,54,Eirene
3,Jupiter,778340800,115,55,S2003j9
3,Jupiter,778340800,115,56,S2003j10
3,Jupiter,778340800,115,57,S2003j12
3,Jupiter,778340800,115,58,Philophrosyne
3,Jupiter,778340800,115,59,S2003j16
3,Jupiter,778340800,115,60,S2003j18
3,Jupiter,778340800,115,61,S2003j19
3,Jupiter,778340800,115,62,S2003j23
3,Jupiter,778340800,115,63,Dia
3,Jupiter,778340800,115,64,S2010j1
3,Jupiter,778340800,115,65,S2010j2
3,Jupiter,778340800,115,66,S2011j1
3,Jupiter,778340800,115,67,S2011j2
3,Jupiter,778340800,115,68,S2017j1
3,Jupiter,778340800,115,69,S2016j1
3,Jupiter,778340800,115,70,Valetudo
3,Jupiter,778340800,115,71,S2017j2
3,Jupiter,778340800,115,72,S2017j3
3,Jupiter,778340800,115,73,Pandia
3,Jupiter,778340800,115,74,S2017j5
3,Jupiter,778340800,115,75,S2017j6
3,Jupiter,778340800,115,76,S2017j7
3,Jupiter,778340800,115,77,S2017j8
3,Jupiter,778340800,115,78,S2017j9
3,Jupiter,778340800,115,79,Ersa
3,Jupiter,778340800,115,80,S2003j24
3,Jupiter,778340800,115,81,S2011j3
3,Jupiter,778340800,115,82,S2016j3
3,Jupiter,778340800,115,83,S2016j4
3,Jupiter,778340800,115,84,S2018j2
3,Jupiter,778340800,115,85,S2018j3
3,Jupiter,778340800,115,86,S2018j4
3,Jupiter,778340800,115,87,S2021j1
3,Jupiter,778340800,115,88,S2021j2
3,Jupiter,778340800,115,89,S2021j3
3,Jupiter,778340800,115,90,S2021j4
3,Jupiter,778340800,115,91,S2021j5
3,Jupiter,778340800,115,92,S2021j6
3,Jupiter,778340800,115,93,S2022j1
3,Jupiter,778340800,115,94,S2022j2
3,Jupiter,778340800,115,95,S2022j3
3,Jupiter,778340800,115,96,S2017j11
3,Jupiter,778340800,115,97,S2017j10
3,Jupiter,778340800,115,98,S2011j4
3,Jupiter,778340800,115,99,S2018j5
3,Jupiter,778340800,115,100,S2024j1
3,Jupiter,778340800,115,101,S2011j5
3,Jupiter,778340800,115,102,S2010j3
3,Jupiter,778340800,115,103,S2011j6
3,Jupiter,778340800,115,104,S2017j12
3,Jupiter,778340800,115,105,S2017j13
3,Jupiter,778340800,115,106,S2017j14
3,Jupiter,778340800,115,107,S2010j4
3,Jupiter,778340800,115,108,S2017j15
3,Jupiter,778340800,115,109,S2017j16
3,Jupiter,778340800,115,110,S2017j17
3,Jupiter,778340800,115,111,S2017j18
3,Jupiter,778340800,115,112,S2010j5
3,Jupiter,778340800,115,113,S2010j6
3,Jupiter,778340800,115,114,S2021j7
3,Jupiter,778340800,115,115,S2021j8
4,Mars,227939200,2,1,Phobos
4,Mars,227939200,2,2,Deimos
5,Mercure,57909050,0,-,-
6,Saturne,1.4266664E+09,293,1,Mimas
6,Saturne,1.4266664E+09,293,2,Encelade
6,Saturne,1.4266664E+09,293,3,Tethys
6,Saturne,1.4266664E+09,293,4,Dione
6,Saturne,1.4266664E+09,293,5,Rhea
6,Saturne,1.4266664E+09,293,6,Titan
6,Saturne,1.4266664E+09,293,7,Hyperion
6,Saturne,1.4266664E+09,293,8,Japet
6,Saturne,1.4266664E+09,293,9,Phoebe
6,Saturne,1.4266664E+09,293,10,Janus
6,Saturne,1.4266664E+09,293,11,Epimethee
6,Saturne,1.4266664E+09,293,12,Helene
6,Saturne,1.4266664E+09,293,13,Telesto
6,Saturne,1.4266664E+09,293,14,Calypso
6,Saturne,1.4266664E+09,293,15,Atlas
6,Saturne,1.4266664E+09,293,16,Promethee
6,Saturne,1.4266664E+09,293,17,Pandore
6,Saturne,1.4266664E+09,293,18,Pan
6,Saturne,1.4266664E+09,293,19,Ymir
6,Saturne,1.4266664E+09,293,20,Paaliaq
6,Saturne,1.4266664E+09,293,21,Tarvos
6,Saturne,1.4266664E+09,293,22,IJiraq
6,Saturne,1.4266664E+09,293,23,Suttungr
6,Saturne,1.4266664E+09,293,24,Kiviuq
6,Saturne,1.4266664E+09,293,25,Mundilfari
6,Saturne,1.4266664E+09,293,26,Albiorix
6,Saturne,1.4266664E+09,293,27,Skathi
6,Saturne,1.4266664E+09,293,28,Erriapo
6,Saturne,1.4266664E+09,293,29,Siarnaq
6,Saturne,1.4266664E+09,293,30,Thrymr
6,Saturne,1.4266664E+09,293,31,Narvi
6,Saturne,1.4266664E+09,293,32,Methone
6,Saturne,1.4266664E+09,293,33,Pallene
6,Saturne,1.4266664E+09,293,34,Pollux
6,Saturne,1.4266664E+09,293,35,Daphnis
6,Saturne,1.4266664E+09,293,36,Aegir
6,Saturne,1.4266664E+09,293,37,Bebhionn
6,Saturne,1.4266664E+09,293,38,Bergelmir
6,Saturne,1.4266664E+09,293,39,Bestla
6,Saturne,1.4266664E+09,293,40,Farbauti
6,Saturne,1.4266664E+09,293,41,Fenrir
6,Saturne,1.4266664E+09,293,42,Fornjot
6,Saturne,1.4266664E+09,293,43,Hati
6,Saturne,1.4266664E+09,293,44,Hyrrokkin
6,Saturne,1.4266664E+09,293,45,Kari
6,Saturne,1.4266664E+09,293,46,Loge
6,Saturne,1.4266664E+09,293,47,Skoll
6,Saturne,1.4266664E+09,293,48,Surtur
6,Saturne,1.4266664E+09,293,49,Anthe
6,Saturne,1.4266664E+09,293,50,Jarnsaxa
6,Saturne,1.4266664E+09,293,51,Greip
6,Saturne,1.4266664E+09,293,52,Tarqeq
6,Saturne,1.4266664E+09,293,53,Egeon
6,Saturne,1.4266664E+09,293,54,S2004s7
6,Saturne,1.4266664E+09,293,55,S2004s12
6,Saturne,1.4266664E+09,293,56,S2004s13
6,Saturne,1.4266664E+09,293,57,S2004s17
6,Saturne,1.4266664E+09,293,58,S2006s1
6,Saturne,1.4266664E+09,293,59,S2006s3
6,Saturne,1.4266664E+09,293,60,S2007s2
6,Saturne,1.4266664E+09,293,61,S2007s3
6,Saturne,1.4266664E+09,293,62,S2009s1
6,Saturne,1.4266664E+09,293,63,Angrboda
6,Saturne,1.4266664E+09,293,64,S2004s21
6,Saturne,1.4266664E+09,293,65,Gridr
6,Saturne,1.4266664E+09,293,66,Skrymir
6,Saturne,1.4266664E+09,293,67,S2004s24
6,Saturne,1.4266664E+09,293,68,Gerd
6,Saturne,1.4266664E+09,293,69,S2004s26
6,Saturne,1.4266664E+09,293,70,Eggther
6,Saturne,1.4266664E+09,293,71,S2004s28
6,Saturne,1.4266664E+09,293,72,S2004s29
6,Saturne,1.4266664E+09,293,73,Beli
6,Saturne,1.4266664E+09,293,74,S2004s31
6,Saturne,1.4266664E+09,293,75,Gunnlod
6,Saturne,1.4266664E+09,293,76,Thiazzi
6,Saturne,1.4266664E+09,293,77,S2004s34
